bidder,bid_price,bid_time,bid_type,item_id
G9402,5780,2016-10-01 21:30:55,reserve,538916398974
G9402,4789,2016-10-01 21:04:10,normal,538916398974
V2103,4390,2016-10-01 20:58:47,normal,538916398974
D1297,3991,2016-10-01 20:53:11,normal,538916398974
G9402,3592,2016-10-01 20:47:07,normal,538916398974
D1297,3193,2016-10-01 20:34:25,normal,538916398974
G9402,2794,2016-10-01 20:22:08,normal,538916398974
P0568,2395,2016-10-01 17:24:53,normal,538916398974
D3640,1996,2016-10-01 17:20:07,normal,538916398974
D1297,1597,2016-10-01 12:22:56,normal,538916398974
Z8695,1198,2016-10-01 11:53:37,normal,538916398974
X8103,799,2016-10-01 09:45:17,normal,538916398974
U3117,400,2016-10-01 09:02:50,normal,538916398974
